Advait Sharma
Raghav Poddar

Ojasvi Chauhan

Reva Mittal

Armaan Baig

Vanya Som

Parth Bahl

Trisha Dixit

Yash Vashisth

Samrath Ahluwalia

Rakshan Shetty

Eshani Lalwani

Pihu Kalra

Ved Arya

Karvi Munjal

Inder Bindra

Abhimanyu Sachdev

Nyra Sikka

Darsh Bijlani

Amoli Vakil

Agastya Chaturvedi

Bani Lamba

Ritish Gada

Sanaya Virani

Advika Parashar

Reyan Thapar

Myreen Wadia

Ojas Kher

Inaaya Hashmi

Vivaan Prabhu

Shanaya Monga

Rudra Pratap

Kavya Nambisan

Veer Shergill

Kyra Khambatta

Aratrika Barua

Bhuvanesh Gowda

Charulata Patnaik

Deven Kalbag

Eravati Hazarika

Farheen Sultana

Giridhar Nambiar

Hemantika Sabharwal

Indranil Ganguly

Janaki Vishwanathan

Kalyan Ramachandran

Lipika Som

Manuj Bhardwaj

Nivedita Saraf

Onkar Panicker

Prithviraj Chavan

Qiana Mascarenhas

Rishabh Aggarwal

Sanjukta Parashar

Trilok Grewal

Upamanyu Chatterjee

Vanita Gupta

Widha Marathe

Xitij Kumbhar

Yashaswini Dayama

Zaheen Mistry

Aniruddha Deshpande

Bhavna Limbachiya

Chinmayi Sripada

Diganth Manchale

Ekta Kaul

Fazal Gafoor

Gauri Shinde

Hridaynath Mangeshkar

Indira Jaising

Joydeb Kar

Kunal Nayyar

Lata Pada

Madhavan Nair

Nandini Satpathy

Omung Kumar

Prahlad Kakkar

Quasar Padamsee

Rohini Hattangadi

Satyajit Phadke

Tanuja Samarth

Usha Uthup

Vimal Chandran

Waheed Bano

Xora Phukan

Yamini Reddy

Zafar Gorakhpuri

Aruna Sairam

Bhanu Athaiya

Chitra Singh

Dilip Tirkey

Sreedharan Pillai

Falguni Pathak

Geeta Bali

Hariprasad Chaurasia

Ila Mitra

Jaspal Bhatti

Kishori Amonkar

Leela Naidu

Mallika Sarabhai

Nikhil Banerjee

Onir Banik

Prabha Atre

Qudrat Ullah

Rajashree Pathy

Shivkumar Sharma

Teejan Bai

Ustad Zakir

Vijayalakshmi Pandit

Wahida Rehman

Yamini Dalal

Zubin Mehta

Amjad Ali

Birju Maharaj

Chaurasia Hariprasad

Durga Khote

Ebrahim Alkazi

Fearless Nadia

Girish Karnad

Habib Tanvir

Ismat Chughtai

Jogen Chowdhury

Kapila Vatsyayan

Lalgudi Jayaraman

Manna Dey

Nalini Malani

Obaid Siddiqi

Ravi Shankar

Quresh Ali

Rukmini Devi

Sonal Mansingh

Tyeb Mehta

Uppalapu Srinivas

Vilayat Khan

Yamini Krishnamurthy

Ashneer Grover

Barkha Dutt

Chetan Bhagat

Divyanka Tripathi

Ehsaan Noorani

Falguni Peacock

Gul Panag

Harnaaz Sandhu

Imtiaz Ali

Jatin Sarna

Kunal Kamra

Leander Paes

Mithila Palkar

Neeraj Chopra

Onir Banik

Pratik Gandhi

Qureshi Ali

Rasika Dugal

Sobhita Dhulipala

Tisca Chopra

Urvashi Rautela

Vikrant Massey

Wamiqa Gabbi

Xerxes Antia

Yami Gautam

Zakir Khan

Aparna Balamurali

Bipasha Basu

Chandan Roy

Diljit Dosanjh

Emraan Hashmi

Fatima Sana

Gajraj Rao

Huma Qureshi

Ishaan Khatter

Jaideep Ahlawat

Kalki Koechlin

Lucky Ali

Manoj Bajpayee

Nawazuddin Siddiqui

Oprah Jha

Piyush Mishra

Rakul Preet

Sanya Malhotra

Tahir Bhasin

Upasana Kamineni

Vidyut Jammwal

Waris Ahluwalia

Yohani De Silva

Zoya Akhtar

Aadi Saravanan

Baani Sandhu

Chaitanya Akkineni

Dakshina Murthy

Eklavya Dwivedi

Falaknaz Ali

Gursimran Bhullar

Hemvati Bahuguna

Inayat Verma

Jhanvi Behal

Kushagra Rawat

Lakshita Arora

Manasvi Mamgai

Niranjan Hiranandani

Ojasvee Tyagi

Pallavi Sharda

Qamar Rizvi

Ranjeet Sawant

Sanchita Padukone

Tanvi Azmi

Utkarsh Ambudkar

Vaishali Samant

Wahab Ashrafi

Xena D'Souza

Yashpal Sharma

Zubeida Begum

Abhay Deora

Bhakti Kulkarni

Chirag Paswan

Deepa Karmakar

Esha Kansara

Farhan Samra

Gagan Narang

Harish Hande

Ila Pal

Jaggi Singh

Kailash Kher

Lalit Modi

Mahesh Manjrekar

Nandita Das

Omkar Kapoor

Pankaj Tripathi

Quasar Padamsee

Radhika Apte

Sachin Pilgaonkar

Tabu Hashmi

Uday Kotak

Vijay Shekhar

Wahida Khalil

Yamini Krishnamurthy

Abhinav Shukla

Balamurali Krishna

Chandresh Narayanan

Divya Spandana

Eshwarappa Hegde

Fatima Sheikh

Giriraj Singh

Harshvardhan Rane

Inderjit Nikku

Jyotsna Bhatt

Kanika Tekriwal

Lakshmanan Sivaramakrishnan

Maithili Thakur

Nishant Dev

Omkar Das Manikpuri

Pallavi Joshi

Qadir Ali Baig

Raghavendra Rajkumar

Sugandha Mishra

Tanushree Dutta

Utpal Dutt

Venkatesh Prasad

Waheeda Rehman

Xitij Kumbhar

Yogeshwar Dutt

Zeeshan Ayyub

Amritpal Brar

Bhagyashree Patwardhan

Chinmay Mandlekar

Deepshikha Nagpal

Ekansh Chaudhary

Farzana Bari

Gulshan Devaiah

Himanshu Rai

Indrani Mukerjea

Jitendra Kumar

Kavita Krishnamurti

Lalit Kala

Manav Kaul

Namrata Shirodkar

Omi Vaidya

Parvathy Thiruvothu

Qamar Wahid Naqvi

Ravi Kishan

Shruti Haasan

Tota Roy Chowdhury

Upendra Limaye

Vineet Kumar Singh

Wajid Khan

Yamini Singh

Ashwini Ponnappa

Boman Irani

Chitra Mudgal

Devendra Fadnavis

Elnaaz Norouzi

Freida Pinto

Gagan Dev Riar

Harish Salve

Ila Arun

Jaaved Jaaferi

Konkona Sen Sharma

Lillete Dubey

Mahesh Bhupathi

Nandish Sandhu

Onkar Panwar

Padmini Kolhapure

Quaid Najmi

Rajat Kapoor

Shefali Shah

Tillotama Shome

Unmukt Chand

Vijay Raaz

Warina Hussain

Xavier Marquis

Yashpal Singh

Zulfiqar Ali

Anant Ambani

Bindu Madhavi

Chandu Borde

Danish Sait

Evelyn Sharma

Flora Saini

Girish Kulkarni

Hiten Tejwani

Inaayat Khubchandani

Jisshu Sengupta

Kiran Rao

Leena Yadav

Milind Soman

Neena Gupta

Onir Banik

Pawan Kalyan

Qazi Touqeer

Ratna Pathak Shah

Sharad Kelkar

Tanvi Shah

Urvashi Dholakia

Viren Rasquinha

Waluscha De Sousa

Zeenat Aman

Vanya Suri

Parth Parikh

Siya Rastogi

Agastya Bhardwaj

Trisha Lal

Yash Gavaskar

Gauri Prabhu

Madhav Sarin

Ahana Prasad

Samrath Sandhu

Pavni Barua

Tejas Gaikwad

Bani Ahluwalia

Rakshan Shetty

Eshani Kaul

Jai Bajwa

Nimrat Kaur

Moksh Rawat

Ruhi Shah

Chirag Gandhi

Keya Somani

Abhimanyu Mishra

Alisha Taneja

Ritvik Sehgal

Amoli Parekh

Daksh Sodhi

Pihu Marwah

Ved Poddar

Karvi Soni

Inder Bhasin

Meher Dhaliwal

Saksham Khatri

Falak Naidu

Varun Salunkhe

Navni Oberoi

Laksh Chandra

Heera Waghmare

Tanmay Buch

Idhika Narayan

Abhiram Namboodiri

Akshara Rajendran

Amartya Majumdar

Anshuman Sekhawat

Aparajita Mahapatra

Archit Bhunia

Arnab Bhowmick

Arunima Sinha

Ashutosh Gowariker

Avinash Yalamanchili

Bakul Chandaria

Balram Halder

Barkha Bisht

Bhaskar Jyoti

Bhuvan Bam

Bijoy Pramanik

Bimal Gurung

Binod Chaudhary

Chaitra Rai

Chandan Roy Sanyal

Charu Asopa

Chetna Pande

Chirayu Amin

Chitraksh Soni

Damodar Mauzo

Darshan Raval

Dayanand Shetty

Deepti Naval

Devaki Jain

Dhanush Kotecha

Dhanya Balakrishna

Digvijay Singh Deo

Divit Kandpal

Ekadant Marathe

Eknath Shinde

Falgun Harsora

Fanindra Nath

Gagan Ajit Singh

Gajanan Jagirdar

Gautam Rode

Geetika Jakhar

Girish Kasaravalli

Gulzar Dehlvi

Hansa Wadkar

Hardik Pandya

Hariharan Anantharaman

Hemant Soren

Hemlata Kala

Himani Shivpuri

Hrishi Mukherjee

Hrithika Singh

Iravan Karunakaran

Ishita Malaviya

Jagannath Sarkar

Janhavi Pande

Jatin Kanakia

Jayant Narlikar

Jignesh Mevani

Jyoti Amge

Kailasavadivoo Sivan

Kalpana Lajmi

Kamal Haasan

Kanak Rele

Kanishk Seth

Kartik Tyagi

Kaushik Basu

Keerthi Suresh

Keshav Baliram

Kinjal Rajpriya

Kishore Biyani

Komal Nahta

Kuldeep Yadav

Kunal Ganjawala

Kushal Tandon

Lalita Pawar

Laxman Pai

Madhu Sapre

Madhuri Dixit

Malini Awasthi

Manan Vohra

Manisha Koirala

Manjul Bhargava

Mayank Agarwal

Mayur Lakhani

Meena Kumari

Mihir Sen

Mohini Bhardwaj

Monali Thakur

Mridula Garg

Mukta Barve

Murali Kartik

Muskaan Mihani

Naman Ojha

Nandita Mahtani

Narayan Murthy

Navneet Nishan

Neelam Kothari

Neeraj Kabi

Nidhi Razdan

Nihira Joshi

Niladri Kumar

Nishikant Kamat

Nitya Mehra

Ojaswini Sharma

Omung Kumar

Padmanabh Singh

Padmini Priyadarshini

Paresh Rawal

Parineeti Chopra

Parth Samthaan

Pavan Malhotra

Phunsukh Wangdu

Pia Bajpiee

Piyush Chawla

Pooja Hegde

Poonam Dhillon

Prabhas Raju

Prachee Shah

Prafulla Chaki

Pragya Jaiswal

Pranav Dhanawade

Prasoon Joshi

Pratibha Patil

Pravin Tambe

Preeti Jhangiani

Pritam Chakraborty

Prithvi Shaw

Priyanka Bose

Pulkit Samrat

Punam Raut

Purnima Devi

Pushkar Singh

Quraish Shihab

Raadhika Sarathkumar

Rachana Maurya

Raghu Rai

Rahul Dravid

Rajat Tokas

Rajkummar Rao

Rakhee Gulzar

Ramanujan Srinivasan

Ramesh Powar

Ranvir Shorey

Ratan Tata

Ravi Teja

Ravish Kumar

Raza Murad

Reema Kagti

Rekha Bhardwaj

Renuka Shahane

Richa Chadha

Riddhima Kapoor

Ridhi Dogra

Ripu Daman

Rishita Monga

Rithvik Dhanjani

Rituparna Sengupta

Robin Uthappa

Rohan Bopanna

Rohini Singh

Rohit Shetty

Roma Asrani

Ronit Roy

Roshan Seth

Roopa Ganguly

Rubina Dilaik

Ruma Guha

Rupali Ganguly

Sabyasachi Mukherjee

Sachet Tandon

Sadananda Gowda

Sagarika Ghatge

Sahil Shroff

Saif Ali

Salil Ankola

Salim Merchant

Salman Khurshid

Sameer Anjaan

Samit Patel

Sampat Pal

Sandeep Maheshwari

Sangita Bijlani

Sanjay Leela

Sanjeev Kapoor

Sanya Malhotra

Saransh Goila

Sarita Joshi

Sathyaraj Ganesan

Satish Kaushik

Satya Nadella

Saurabh Shukla

Savita Punia

Sayani Gupta

Seema Biswas

Shabana Azmi

Shailesh Lodha

Shakti Kapoor

Shammi Kapoor

Shankar Mahadevan

Shanta Kumar

Sharad Pawar

Sharmila Tagore

Shashank Vyas

Shatrughan Sinha

Shaurya Sandhu

Sheetal Thakur

Shikha Talsania

Shilpa Shinde

Shishir Sharma

Shivangi Joshi

Shoma Anand

Shravan Kumar

Shreya Ghoshal

Shreyas Iyer

Shridhar Chillal

Shrikant Pantawane

Shruti Ulfat

Shweta Tripathi

Shyam Benegal

Siddhanth Kapoor

Simranjit Kaur

Smita Patil

Smriti Irani

Sneha Ullal

Sohail Khan

Somnath Bharti

Sonakshi Sinha

Sonal Chauhan

Sonali Bendre

Sonu Sood

Soumya Tandon

Sreenath Bhasi

Sridevi Kapoor

Srinidhi Shetty

Subhalekha Sudhakar

Subhash Ghai

Sudeep Sanjeev

Sudha Murty

Sudhir Mishra

Sugandha Garg

Suhasini Mani

Sujoy Ghosh

Sukhwinder Singh

Sulekha Talwalkar

Sumit Nagal

Sunidhi Chauhan

Sunil Gavaskar

Sunita Narain

Supriya Pathak

Suraj Pancholi

Suresh Raina

Surveen Chawla

Sushant Divgikar

Sushma Swaraj

Swara Bhasker

Swapna Barman

Swati Maliwal

Syeda Hameed

Tabassum Fatima

Tahira Kashyap

Talat Aziz

Tamannaah Bhatia

Tanmay Bhat

Tanuja Chandra

Tapas Paul

Taapsee Pannu

Tarun Khanna

Tasmia Khan

Temsula Ao

Thangjam Singh

Tigmanshu Dhulia

Trilok Gurtu

Tripti Dimri

Trisha Krishnan

Tulsi Gabbard

Tushar Hiranandani

Uday Chopra

Udita Goswami

Udit Narayan

Ujjwal Nikam

Ulka Gupta

Uma Bharti

Umang Jain

Unnikrishnan Jayanth

Upasana Singh

Urvashi Butalia

Usha Mangeshkar

Utkarsh Sharma

Uttam Singh

Vani Bhojan

Vaani Kapoor

Vahbiz Dorabjee

Vaibhav Reddy

Vaishali Mohanty

Vallabh Bhanshali

Vamika Gabbi

Vandana Shiva

Vanitha Vijayakumar

Varun Grover

Vasundhara Raje

Vedant Madhavan

Veena Malik

Venkatraman Ramakrishnan

Vibha Saraf

Vicky Kaushal

Vidya Balan

Vijay Sethupathi

Vikas Bahl

Vikramaditya Motwane

Vinayak Damodar

Vineeta Singh

Vinod Kambli

Vipul Shah

Vishal Dadlani

Vishwanathan Anand

Vivek Oberoi

Vrajesh Hirjee

Vyjayanthimala Bali

Waheeda Khalil

Wajid Ali

Waluscha De Sousa

Warina Hussain

Xerxes Desai

Xora Phukan

Yadira Singh

Yamini Dalal

Yash Dasgupta

Yashasvi Jaiswal

Yatin Karyekar

Yogita Bali

Youhana Khan

Yuvraj Singh

Zafar Iqbal

Zaheer Khan

Zahira Sheikh

Zain Imam

Zakir Hussain

Zarina Wahab

Zaviar Siddique

Zeishan Quadri

Zenia Bhumgara

Zian Ahmed

Zoya Afroz

Zubair Ahmed

Zulfi Syed

Aamani Iyer

Abburi Ravi

Abishek Ambareesh

Achintya Sheth

Aditi Rao

Advait Chandan

Agastya Nanda

Ahishor Roy

Ajay Piramal

Akanksha Puri

Akhil Akkineni

Akshaye Khanna

Alankrita Sahai

Alka Yagnik

Alok Nath

Amal Neerad

Amala Paul

Aman Gupta

Amar Singh

Amruta Fadnavis

Anant Nag

Anasuya Bharadwaj

Anees Bazmee

Angad Bedi

Aniket Vishwasrao

Anjali Menon

Anjana Om Kashyap

Ankit Fadia

Ankush Bahuguna

Anna Hazare

Anoop Jalota

Anshula Kapoor

Antara Mali

Anu Malik

Anupam Kher

Anurag Kashyap

Anusha Dandekar

Aparna Sen

Apurva Agnihotri

Aradhana Sharma

Arati Ankalikar

Archana Puran

Arishfa Khan

Arjun Rampal

Arka Das

Armaan Malik

Arnab Goswami

Arpit Ranka

Arshad Warsi

Arun Govil

Arundhati Roy

Arvind Kejriwal

Asha Bhosle

Ashish Nehra

Ashmit Patel

Ashutosh Rana

Avani Lekhara

Ayushmann Khurrana

Babita Phogat

Badal Sircar

Baljit Singh

Basanti Devi

Beena Banerjee

Bhagwant Mann

Bhanu Priya

Bharat Bhushan

Bhumi Pednekar

Bikas Das

Bindu Ammini

Binny Bansal

Bipasha Basu

Biswa Kalyan

Bobby Deol

Brahmanda Nayak

Brinda Karat

Chanda Kochhar

Chandan Roy

Charanjeet Kaur

Charu Sharma

Chetan Chauhan

Chinmaya Mission

Chittaranjan Das

Chunky Pandey

Cyrus Broacha

Daisy Shah

Dalip Singh

Damodar Savarkar

Danish Aslam

Daya Shankar

Deena Pathak

Deepa Mehta

Deepak Dobriyal

Deepti Sati

Dev Anand

Devdutt Pattanaik

Dhanraj Pillay

Dharmesh Yelande

Dhritiman Chatterjee

Dilip Kumar

Dimple Kapadia

Dina Wadia

Dinesh Karthik

Dipti Sharma

Divya Dutta

Dolly Ahluwalia

Eijaz Khan

Ekta Kapoor

Elnaaz Norouzi

Evelyn Sharma

Faizal Khan

Farha Naaz

Farhan Akhtar

Feroz Khan

Flora Saini

Gajendra Singh

Gauri Shinde

Geeta Phogat

Girish Kulkarni

Gulshan Grover

Gurdas Maan

Guru Randhawa

Hansika Motwani

Hardeep Puri

Hari Bansha

Harsh Goenka

Harsha Bhogle

Hema Malini

Hemant Birje

Himansh Kohli

Himesh Reshammiya

Hina Khan

Hiten Tejwani

Honey Singh

Hrithik Roshan

Huma Qureshi

Ila Arun

Imtiaz Ali

Inaayat Sharma

Inder Kumar

Iqbal Singh

Irfan Pathan

Isha Koppikar

Ishant Sharma

Ismail Darbar

Jaideep Ahlawat

Janhvi Kapoor

Javed Akhtar

Jeetendra Kapoor

Jhanvi Sethi

Jiah Khan

Jimmy Shergill

Johnny Lever

Juhi Chawla

Jyoti Singh

Kabir Bedi
